Algorithm;Size;InputType;TimeNs;MaxDepth;Operations;ActualVsTheoreticalRatio
MergeSort;1000;Random;459300;7;10321;46,09
QuickSort;1000;Random;720700;6;5448;72,32
DetSelect;1000;Random;602400;10;9512;602,40
MergeSort;1000;Sorted;71000;7;999;7,12
QuickSort;1000;Sorted;183000;6;1004;18,36
DetSelect;1000;Sorted;411400;9;7010;411,40
MergeSort;1000;Reverse;345900;7;10363;34,71
QuickSort;1000;Reverse;106700;6;4638;10,71
DetSelect;1000;Reverse;84300;10;9401;84,30
MergeSort;1000;Duplicate;67400;7;9247;6,76
QuickSort;1000;Duplicate;681700;3;1945;68,40
DetSelect;1000;Duplicate;29200;5;3725;29,20
ClosestPair;1000;Random;6734100;10;1142;675,72
MergeSort;10000;Random;3156400;11;127746;23,75
QuickSort;10000;Random;775300;8;77942;5,83
DetSelect;10000;Random;602800;14;97524;60,28
MergeSort;10000;Sorted;48800;11;9999;0,37
QuickSort;10000;Sorted;337200;8;10054;2,54
DetSelect;10000;Sorted;361400;13;72793;36,14
MergeSort;10000;Reverse;633300;11;94671;4,77
QuickSort;10000;Reverse;419500;9;70726;3,16
DetSelect;10000;Reverse;464300;13;100317;46,43
MergeSort;10000;Duplicate;1589700;11;116007;11,96
QuickSort;10000;Duplicate;7065600;3;23878;53,17
DetSelect;10000;Duplicate;281700;6;37782;28,17
ClosestPair;10000;Random;14235700;13;12959;107,13
MergeSort;100000;Random;22417900;14;1649250;13,50
QuickSort;100000;Random;10260000;11;1131463;6,18
DetSelect;100000;Random;20786500;16;992050;207,87
MergeSort;100000;Sorted;391400;14;99999;0,24
QuickSort;100000;Sorted;5605200;11;100004;3,37
DetSelect;100000;Sorted;3102700;16;739711;31,03
MergeSort;100000;Reverse;2899900;14;1217007;1,75
QuickSort;100000;Reverse;5775000;10;681506;3,48
DetSelect;100000;Reverse;2711900;17;1022392;27,12
MergeSort;100000;Duplicate;4913500;14;1482426;2,96
QuickSort;100000;Duplicate;924142200;3;219839;556,39
DetSelect;100000;Duplicate;1669400;8;377803;16,69
ClosestPair;100000;Random;158563600;17;142588;95,46
